,FIS code,Athlete,Year,Nation,Podiums,Wins,Top 10
82,3535448,FRANKOWSKI Rosie,1991.0,USA,0.0,0.0,0.0
83,3675049,BYKOVA Irina,1993.0,KAZ,0.0,0.0,1.0
84,3675036,MANDRIKA Olga,1993.0,KAZ,0.0,0.0,1.0
85,3695082,KROL Yuliia,1998.0,UKR,0.0,0.0,0.0
86,3486232,GOLOVAN Diana,1994.0,RUS,0.0,0.0,2.0
87,3675066,TYULENEVA Valeriya,1997.0,KAZ,0.0,0.0,0.0
88,3325046,HAN Dasom,1994.0,KOR,0.0,0.0,0.0
89,3125067,MA Chun,1994.0,CHN,0.0,0.0,0.0
90,3325085,LEE Eui Jin,2001.0,KOR,0.0,0.0,0.0
91,3745008,GALSTYAN Katya,1993.0,ARM,0.0,0.0,0.0
92,3422819,KLAEBO Johannes Hoesflot,1996.0,NOR,15.0,11.0,20.0
93,3422619,VALNES Erik,1996.0,NOR,5.0,1.0,10.0
94,3290326,PELLEGRINO Federico,1990.0,ITA,3.0,0.0,9.0
95,3420909,GOLBERG Paal,1990.0,NOR,8.0,4.0,15.0
96,3501010,HAEGGSTROEM Johan,1992.0,SWE,2.0,0.0,5.0
97,3180861,MAEKI Joni,1995.0,FIN,1.0,0.0,1.0
98,3180508,HAKOLA Ristomatti,1991.0,FIN,1.0,0.0,3.0
99,3481539,USTIUGOV Sergey,1992.0,RUS,7.0,3.0,11.0
100,3390169,KILP Marko,1993.0,EST,0.0,0.0,0.0
101,3180535,NISKANEN Iivo,1992.0,FIN,5.0,2.0,16.0
102,3482277,BOLSHUNOV Alexander,1996.0,RUS,16.0,8.0,26.0
103,3510377,HEDIGER Jovian,1990.0,SUI,0.0,0.0,2.0
104,3190353,CHAUVIN Valentin,1995.0,FRA,0.0,0.0,3.0
105,3290383,RASTELLI Maicol,1991.0,ITA,0.0,0.0,0.0
106,3190345,JOUVE Richard,1994.0,FRA,2.0,0.0,8.0
