,Rank,Bib,FIS code,Athlete,Year,Nation,Time,Diff. Time,FIS Points,Event,Place,Date,Result Type,Season
31,32,58,3435201,SKINDER Monika,2001,POL,3:13.49,+10.48,68.72,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
32,33,48,3295241,GANZ Caterina,1995,ITA,3:13.70,+10.69,70.09,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
33,34,28,3506079,LUNDGREN Moa,1998,SWE,3:13.83,+10.82,70.95,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
34,35,14,3505217,KALLA Charlotte,1987,SWE,3:13.85,+10.84,71.08,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
35,36,46,3055108,UNTERWEGER Lisa,1995,AUT,3:14.16,+11.15,73.11,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
36,36,49,3185579,MATINTALO Johanna,1996,FIN,3:14.16,+11.15,73.11,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
37,38,61,3665121,SERONOSOVA Polina,1993,BLR,3:14.17,+11.16,73.18,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
38,39,11,3505800,DAHLQVIST Maja,1994,SWE,3:14.53,+11.52,75.54,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
39,40,47,3506154,KARLSSON Frida,1999,SWE,3:14.58,+11.57,75.86,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
40,41,39,3665115,KIRILLOVA Anastasia,1996,BLR,3:14.63,+11.62,76.19,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
41,42,17,3425421,HAGA Ragnhild,1991,NOR,3:14.75,+11.74,76.98,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
42,43,37,3535562,KERN Julia,1997,USA,3:14.90,+11.89,77.96,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
43,44,50,3155314,RAZYMOVA Katerina,1991,CZE,3:15.32,+12.31,80.72,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
44,45,38,3185114,MONONEN Laura,1984,FIN,3:15.69,+12.68,83.14,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
45,46,34,3425669,KALVAA Anne Kjersti,1992,NOR,3:15.92,+12.91,84.65,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
46,47,3,3055067,STADLOBER Teresa,1993,AUT,3:16.56,+13.55,88.85,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
47,48,18,1274580,ISHIDA Masako,1980,JPN,3:16.57,+13.56,88.91,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
48,49,54,3155186,SCHUETZOVA Sandra,1991,CZE,3:17.78,+14.77,96.85,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
49,50,40,3205434,KREHL Sofie,1995,GER,3:18.33,+15.32,100.45,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
50,51,44,3185514,JULIN Andrea,1994,FIN,3:18.34,+15.33,100.52,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
51,52,41,3155324,JANATOVA Katerina,1997,CZE,3:18.39,+15.38,100.85,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
52,53,86,3185610,ALAKOSKI Anni,1997,FIN,3:18.43,+15.42,101.11,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
53,54,76,3486373,SMIRNOVA Ekaterina,1996,RUS,3:18.65,+15.64,102.55,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
54,55,33,3155344,BERANOVA Tereza,1998,CZE,3:18.74,+15.73,103.14,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
55,56,73,3435202,KALETA Weronika,1999,POL,3:19.37,+16.36,107.27,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
56,57,56,3205407,FINK Pia,1995,GER,3:19.72,+16.71,109.57,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
57,58,55,3155249,NOVAKOVA Petra,1993,CZE,3:19.91,+16.90,110.81,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
58,59,62,3435197,MARCISZ Izabela,2000,POL,3:20.09,+17.08,111.99,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
59,60,57,3535602,SWIRBUL Hailey,1998,USA,3:20.10,+17.09,112.06,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
60,61,77,3185357,KAINULAINEN Anni,1992,FIN,3:20.32,+17.31,113.50,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
61,62,59,3485862,ZHAMBALOVA Alisa,1994,RUS,3:20.52,+17.51,114.81,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
62,63,43,3485490,TSAREVA Olga,1990,RUS,3:20.63,+17.62,115.53,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
63,64,74,3185633,NISSINEN Vilma,1997,FIN,3:20.69,+17.68,115.93,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
64,65,80,3486213,DURKINA Lidia,1997,RUS,3:20.97,+17.96,117.76,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
65,66,78,3185705,OLKKONEN Tiia,1999,FIN,3:21.06,+18.05,118.35,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
66,67,36,3705003,PROCHAZKOVA Alena,1984,SVK,3:21.20,+18.19,119.27,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
67,68,53,3205491,FRAEBEL Antonia,1997,GER,3:21.63,+18.62,122.09,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
68,69,67,3125046,LI Xin,1992,CHN,3:22.43,+19.42,127.34,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
69,70,66,3295322,COMARELLA Anna,1997,ITA,3:22.62,+19.61,128.58,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
70,71,69,3185305,PAJUNOJA Maaret,1990,FIN,3:22.84,+19.83,130.03,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
71,72,32,3205403,CARL Victoria,1995,GER,3:22.99,+19.98,131.01,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
72,73,63,3185551,JOENSUU Jasmi,1996,FIN,3:23.09,+20.08,131.66,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
73,74,65,3486314,KIRPICHENKO Yana,1996,RUS,3:23.18,+20.17,132.26,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
74,75,71,3555052,EIDUKA Patricija,2000,LAT,3:23.37,+20.36,133.50,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
75,76,60,3185752,KORVA Anita,1999,FIN,3:23.50,+20.49,134.35,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
76,77,75,3675035,SHEVCHENKO Anna,1993,KAZ,3:23.82,+20.81,136.45,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
77,78,64,3125082,CHI Chunxue,1998,CHN,3:24.31,+21.30,139.66,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
78,79,79,3665023,KAMINSKA Valentyna,1987,UKR,3:24.99,+21.98,144.12,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
79,80,70,3185343,SAAPUNKI Susanna,1992,FIN,3:26.29,+23.28,152.65,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
80,81,83,3486471,ZHEREBYATEVA Anna,1997,RUS,3:27.62,+24.61,161.37,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
81,82,72,3535385,PATTERSON Caitlin,1990,USA,3:28.83,+25.82,169.30,Women's SP  C Qual,Ruka (FIN),"Nov 29, 2019",Sprint Qualification,2020
