,Rank,Bib,FIS code,Athlete,Year,Nation,Time,Diff. Time,FIS Points,Event,Place,Date,Result Type,Season
675,30,42,3150570,NOVAK Michal,1996,CZE,39:08.1,+3:38.4,42.01,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
676,31,48,3220002,MUSGRAVE Andrew,1990,GBR,39:08.7,+3:39.0,35.48,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
677,32,26,3290379,DE FABIANI Francesco,1993,ITA,39:08.9,+3:39.2,64.82,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
678,33,44,3200356,DOBLER Jonas,1991,GER,39:10.0,+3:40.3,41.38,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
679,34,55,3190111,MANIFICAT Maurice,1986,FRA,39:10.3,+3:40.6,27.80,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
680,35,30,3180984,LEPISTO Lauri,1996,FIN,39:15.1,+3:45.4,64.93,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
681,36,43,3300494,BABA Naoto,1996,JPN,39:21.8,+3:52.1,49.29,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
682,37,29,3180861,MAEKI Joni,1995,FIN,39:29.4,+3:59.7,73.70,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
683,38,40,3181007,VUORELA Markus,1996,FIN,39:30.0,+4:00.3,63.16,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
684,39,24,3180436,MIKKONEN Juho,1990,FIN,39:30.5,+4:00.8,82.36,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
685,40,35,3200676,BRUGGER Janosch,1997,GER,39:34.6,+4:04.9,68.66,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
686,41,50,3200072,KATZ Andreas,1988,GER,39:35.3,+4:05.6,49.57,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
687,42,60,3190302,PARISSE Clement,1993,FRA,39:35.7,+4:06.0,38.34,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
688,43,34,3481988,SEMIKOV Ilia,1993,RUS,39:36.2,+4:06.5,70.15,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
689,44,53,3670115,PUKHKALO Vitaliy,1992,KAZ,39:43.7,+4:14.0,51.52,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
690,45,27,3200210,EISENLAUER Sebastian,1990,GER,39:53.5,+4:23.8,89.23,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
691,46,65,3430249,BURY Dominik,1996,POL,39:55.2,+4:25.5,38.06,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
692,47,49,3530496,NORRIS David,1990,USA,39:56.0,+4:26.3,62.01,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
693,48,38,3501259,EKSTROEM Axel,1995,SWE,40:09.0,+4:39.3,86.66,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
694,49,58,3190268,BACKSCHEIDER Adrien,1992,FRA,40:15.1,+4:45.4,62.64,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
695,50,52,3300190,YOSHIDA Keishin,1987,JPN,40:30.3,+5:00.6,78.23,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
696,51,41,3300373,MIYAZAWA Hiroyuki,1991,JPN,40:42.4,+5:12.7,98.35,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
697,52,51,3510479,RUEESCH Jason,1994,SUI,40:56.8,+5:27.1,93.99,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
698,53,54,3290407,SALVADORI Giandomenico,1992,ITA,40:58.6,+5:28.9,90.44,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
699,54,73,3670078,KLIMIN Olzhas,1996,KAZ,41:03.8,+5:34.1,56.74,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
700,55,45,3190345,JOUVE Richard,1994,FRA,41:10.7,+5:41.0,109.41,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
701,56,57,3670022,VELICHKO Yevgeniy,1987,KAZ,41:16.3,+5:46.6,97.72,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
702,57,62,3180865,VUORINEN Lauri,1995,FIN,41:23.7,+5:54.0,95.08,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
703,58,56,3501255,SVENSSON Oskar,1995,SWE,41:30.5,+6:00.8,107.00,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
704,59,69,3290446,ZELGER Stefan,1995,ITA,41:32.9,+6:03.2,82.59,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
705,60,46,3481163,RETIVYKH Gleb,1991,RUS,41:34.2,+6:04.5,120.58,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
706,61,64,3190353,CHAUVIN Valentin,1995,FRA,41:39.6,+6:09.9,97.89,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
707,62,70,3530679,BRATRUD Kyle,1993,USA,41:45.0,+6:15.3,85.51,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
708,63,75,3250038,EINARSSON Snorri Eythor,1986,ISL,42:01.7,+6:32.0,83.62,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
709,64,59,3670075,BORTSOV Konstantin,1995,KAZ,42:15.3,+6:45.6,130.96,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
710,65,72,3430233,BURY Kamil,1995,POL,42:35.5,+7:05.8,109.87,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
711,66,68,3530713,BOLGER Kevin,1993,USA,42:40.0,+7:10.3,121.04,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
712,67,47,3180990,HAARALA Juuso,1996,FIN,42:42.7,+7:13.0,158.70,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
713,68,78,3390240,HIMMA Martin,1999,EST,42:58.9,+7:29.2,105.51,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
714,69,71,3530532,PATTERSON Scott,1992,USA,42:59.9,+7:30.2,128.44,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
715,70,85,3700081,KORISTEK Jan,1996,SVK,43:01.0,+7:31.3,84.94,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
716,71,82,3670077,DYUSSENOV Asset,1997,KAZ,43:23.6,+7:53.9,105.91,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
717,72,77,3181015,HAKALA Karri,1996,FIN,43:27.5,+7:57.8,130.50,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
718,73,80,3740072,MIKAYELYAN Mikayel,1999,ARM,43:42.5,+8:12.8,124.20,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
719,74,74,3660055,VORANAU Aliaksandr,1990,BLR,43:51.3,+8:21.6,149.30,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
720,75,79,3181098,SUHONEN Verneri,1997,FIN,43:55.3,+8:25.6,137.26,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
721,76,66,3430103,STAREGA Maciej,1990,POL,44:02.5,+8:32.8,174.63,Men's 15 km F Pursuit,Ruka (FIN),"Dec 01, 2019",Stage World Cup,2020
722,1,,3425301,JOHAUG Therese,1988,NOR,55:43.0,55:43.0,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
723,2,,3425499,WENG Heidi,1991,NOR,56:54.3,+1:11.3,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
724,3,,3425183,JACOBSEN Astrid Uhrenholdt,1987,NOR,56:56.3,+1:13.3,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
725,4,,3535320,MAUBET BJORNSEN Sadie,1989,USA,57:10.9,+1:27.9,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
726,5,,3535410,DIGGINS Jessica,1991,USA,57:13.9,+1:30.9,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
727,6,,3185256,PARMAKOSKI Krista,1990,FIN,57:24.0,+1:41.0,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
728,7,,3426201,WENG Tiril Udnes,1996,NOR,57:35.5,+1:52.5,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
729,8,,3506154,KARLSSON Frida,1999,SWE,57:36.9,+1:53.9,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
730,9,,3155314,RAZYMOVA Katerina,1991,CZE,57:43.1,+2:00.1,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
731,10,,3535316,BRENNAN Rosie,1988,USA,57:58.3,+2:15.3,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
732,11,,3505754,NILSSON Stina,1993,SWE,58:07.5,+2:24.5,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
733,12,,3185168,NISKANEN Kerttu,1988,FIN,58:09.1,+2:26.1,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
734,13,,3425669,KALVAA Anne Kjersti,1992,NOR,58:10.3,+2:27.3,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
735,14,,3505217,KALLA Charlotte,1987,SWE,58:11.9,+2:28.9,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
736,15,,3205403,CARL Victoria,1995,GER,58:15.0,+2:32.0,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
737,16,,3055067,STADLOBER Teresa,1993,AUT,58:15.4,+2:32.4,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
738,17,,3505809,SUNDLING Jonna,1994,SWE,58:19.1,+2:36.1,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
739,18,,3486010,NEPRYAEVA Natalia,1995,RUS,58:22.6,+2:39.6,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
740,19,,3506079,LUNDGREN Moa,1998,SWE,58:27.8,+2:44.8,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
741,20,,1274580,ISHIDA Masako,1980,JPN,58:31.8,+2:48.8,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
742,21,,3565062,LAMPIC Anamarija,1995,SLO,58:50.1,+3:07.1,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
743,22,,3505956,ROENNLUND Elina,1996,SWE,58:50.7,+3:07.7,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
744,23,,3505675,SETTLIN Evelina,1992,SWE,58:59.4,+3:16.4,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
745,24,,3515221,FAEHNDRICH Nadine,1995,SUI,59:11.5,+3:28.5,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
746,25,,3425381,SVENDSEN Anna,1990,NOR,59:15.1,+3:32.1,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
747,26,,3506008,RIBOM Emma,1997,SWE,59:20.3,+3:37.3,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
748,27,,3205460,HENNIG Katharina,1996,GER,59:23.4,+3:40.4,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
749,28,,3425421,HAGA Ragnhild,1991,NOR,59:26.3,+3:43.3,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
750,29,,3155249,NOVAKOVA Petra,1993,CZE,59:29.1,+3:46.1,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
751,30,,3205407,FINK Pia,1995,GER,59:49.1,+4:06.1,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
752,31,,3205434,KREHL Sofie,1995,GER,59:49.8,+4:06.8,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
753,32,,3205305,GIMMLER Laura,1993,GER,59:52.2,+4:09.2,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
754,33,,3486314,KIRPICHENKO Yana,1996,RUS,59:52.8,+4:09.8,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
755,34,,3185114,MONONEN Laura,1984,FIN,59:54.3,+4:11.3,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
756,35,,3185579,MATINTALO Johanna,1996,FIN,59:54.3,+4:11.3,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
757,36,,3515087,VAN DER GRAAFF Laurien,1987,SUI,59:54.6,+4:11.6,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
758,37,,3185137,KYLLOENEN Anne,1987,FIN,59:55.0,+4:12.0,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
759,38,,3486213,DURKINA Lidia,1997,RUS,59:56.7,+4:13.7,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
760,39,,3435197,MARCISZ Izabela,2000,POL,59:58.6,+4:15.6,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
761,40,,3485862,ZHAMBALOVA Alisa,1994,RUS,1:00:03.8,+4:20.8,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
762,41,,3295157,SCARDONI Lucia,1991,ITA,1:00:11.3,+4:28.3,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
763,42,,3486373,SMIRNOVA Ekaterina,1996,RUS,1:00:14.5,+4:31.5,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
764,43,,3295241,GANZ Caterina,1995,ITA,1:00:35.0,+4:52.0,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
765,44,,3486232,GOLOVAN Diana,1994,RUS,1:00:37.0,+4:54.0,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
766,45,,3505800,DAHLQVIST Maja,1994,SWE,1:00:42.4,+4:59.4,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
767,46,,3205491,FRAEBEL Antonia,1997,GER,1:00:50.5,+5:07.5,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
768,47,,3485490,TSAREVA Olga,1990,RUS,1:00:50.6,+5:07.6,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
769,48,,3486471,ZHEREBYATEVA Anna,1997,RUS,1:00:53.4,+5:10.4,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
770,49,,3535562,KERN Julia,1997,USA,1:00:56.1,+5:13.1,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
771,50,,3125046,LI Xin,1992,CHN,1:00:58.0,+5:15.0,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
772,51,,3675066,TYULENEVA Valeriya,1997,KAZ,1:01:02.0,+5:19.0,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
773,52,,3535385,PATTERSON Caitlin,1990,USA,1:01:04.6,+5:21.6,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
774,53,,3555052,EIDUKA Patricija,2000,LAT,1:01:13.0,+5:30.0,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
775,54,,3535602,SWIRBUL Hailey,1998,USA,1:01:15.8,+5:32.8,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
776,55,,3295322,COMARELLA Anna,1997,ITA,1:01:16.3,+5:33.3,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
777,56,,3535448,FRANKOWSKI Rosie,1991,USA,1:01:18.9,+5:35.9,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
778,57,,3665121,SERONOSOVA Polina,1993,BLR,1:01:21.0,+5:38.0,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
779,58,,3506105,HAGSTROEM Johanna,1998,SWE,1:01:36.2,+5:53.2,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
780,59,,3675036,MANDRIKA Olga,1993,KAZ,1:01:37.7,+5:54.7,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
781,60,,3155186,SCHUETZOVA Sandra,1991,CZE,1:01:38.7,+5:55.7,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
782,61,,3055108,UNTERWEGER Lisa,1995,AUT,1:01:41.8,+5:58.8,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
783,62,,3675049,BYKOVA Irina,1993,KAZ,1:01:55.6,+6:12.6,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
784,63,,3185752,KORVA Anita,1999,FIN,1:02:05.7,+6:22.7,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
785,64,,3675035,SHEVCHENKO Anna,1993,KAZ,1:02:06.3,+6:23.3,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
786,65,,3125082,CHI Chunxue,1998,CHN,1:02:23.2,+6:40.2,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
787,66,,3185357,KAINULAINEN Anni,1992,FIN,1:02:24.7,+6:41.7,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
788,67,,3426112,STENSETH Ane Appelkvist,1995,NOR,1:03:27.9,+7:44.9,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
789,68,,3185305,PAJUNOJA Maaret,1990,FIN,1:03:34.2,+7:51.2,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
790,69,,3435202,KALETA Weronika,1999,POL,1:03:35.0,+7:52.0,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
791,70,,3705003,PROCHAZKOVA Alena,1984,SVK,1:04:01.0,+8:18.0,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
792,71,,3185705,OLKKONEN Tiia,1999,FIN,1:04:39.2,+8:56.2,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
793,72,,3665023,KAMINSKA Valentyna,1987,UKR,1:05:42.2,+9:59.2,,Women's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
794,1,,3422819,KLAEBO Johannes Hoesflot,1996,NOR,1:13:06.7,1:13:06.7,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
795,2,,3421320,IVERSEN Emil,1991,NOR,1:13:08.5,+1.8,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
796,3,,3180535,NISKANEN Iivo,1992,FIN,1:13:17.8,+11.1,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
797,4,,3420909,GOLBERG Paal,1990,NOR,1:13:54.6,+47.9,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
798,5,,3482277,BOLSHUNOV Alexander,1996,RUS,1:13:55.0,+48.3,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
799,6,,3420586,HOLUND Hans Christer,1989,NOR,1:13:58.8,+52.1,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
800,7,,3420994,TOENSETH Didrik,1991,NOR,1:14:05.5,+58.8,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
801,8,,3420605,ROETHE Sjur,1988,NOR,1:14:23.1,+1:16.4,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
802,9,,3500664,HALFVARSSON Calle,1989,SWE,1:14:40.3,+1:33.6,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
803,10,,3481539,USTIUGOV Sergey,1992,RUS,1:14:45.7,+1:39.0,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
804,11,,3481132,LARKOV Andrey,1989,RUS,1:14:47.5,+1:40.8,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
805,12,,3422619,VALNES Erik,1996,NOR,1:14:47.7,+1:41.0,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
806,13,,3180557,HYVARINEN Perttu,1991,FIN,1:14:48.3,+1:41.6,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
807,14,,3501223,BURMAN Jens,1994,SWE,1:14:48.3,+1:41.6,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
808,15,,3420228,SUNDBY Martin Johnsrud,1984,NOR,1:14:56.2,+1:49.5,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
809,16,,3421164,SKAR Sindre Bjoernestad,1992,NOR,1:15:22.0,+2:15.3,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
810,17,,3501010,HAEGGSTROEM Johan,1992,SWE,1:15:32.4,+2:25.7,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
811,18,,3482105,YAKIMUSHKIN Ivan,1996,RUS,1:15:40.2,+2:33.5,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
812,19,,3290326,PELLEGRINO Federico,1990,ITA,1:15:43.3,+2:36.6,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
813,20,,3481432,MALTSEV Artem,1993,RUS,1:15:47.7,+2:41.0,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
814,21,,3482350,POROSHKIN Ilia,1995,RUS,1:15:49.3,+2:42.6,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
815,22,,3481803,MELNICHENKO Andrey,1992,RUS,1:15:51.6,+2:44.9,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
816,23,,3180301,LEHTONEN Lari,1987,FIN,1:15:52.2,+2:45.5,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
817,24,,3510342,BAUMANN Jonas,1990,SUI,1:16:06.8,+3:00.1,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
818,25,,3530511,BJORNSEN Erik,1991,USA,1:16:20.5,+3:13.8,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
819,26,,3501297,SANDSTROEM Bjoern,1995,SWE,1:16:23.1,+3:16.4,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
820,27,,3200205,BOEGL Lucas,1990,GER,1:16:26.1,+3:19.4,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
821,28,,3510534,KLEE Beda,1996,SUI,1:16:32.7,+3:26.0,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
822,29,,3660065,SEMENOV Michail,1986,BLR,1:16:35.8,+3:29.1,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
823,30,,3150570,NOVAK Michal,1996,CZE,1:16:45.1,+3:38.4,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
824,31,,3220002,MUSGRAVE Andrew,1990,GBR,1:16:45.7,+3:39.0,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
825,32,,3290379,DE FABIANI Francesco,1993,ITA,1:16:45.9,+3:39.2,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
826,33,,3200356,DOBLER Jonas,1991,GER,1:16:47.0,+3:40.3,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
827,34,,3190111,MANIFICAT Maurice,1986,FRA,1:16:47.3,+3:40.6,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
828,35,,3180984,LEPISTO Lauri,1996,FIN,1:16:52.1,+3:45.4,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
829,36,,3300494,BABA Naoto,1996,JPN,1:16:58.8,+3:52.1,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
830,37,,3180861,MAEKI Joni,1995,FIN,1:17:06.4,+3:59.7,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
831,38,,3181007,VUORELA Markus,1996,FIN,1:17:07.0,+4:00.3,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
832,39,,3180436,MIKKONEN Juho,1990,FIN,1:17:07.5,+4:00.8,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
833,40,,3200676,BRUGGER Janosch,1997,GER,1:17:11.6,+4:04.9,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
834,41,,3200072,KATZ Andreas,1988,GER,1:17:12.3,+4:05.6,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
835,42,,3190302,PARISSE Clement,1993,FRA,1:17:12.7,+4:06.0,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
836,43,,3481988,SEMIKOV Ilia,1993,RUS,1:17:13.2,+4:06.5,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
837,44,,3670115,PUKHKALO Vitaliy,1992,KAZ,1:17:20.7,+4:14.0,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
838,45,,3200210,EISENLAUER Sebastian,1990,GER,1:17:30.5,+4:23.8,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
839,46,,3430249,BURY Dominik,1996,POL,1:17:32.2,+4:25.5,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
840,47,,3530496,NORRIS David,1990,USA,1:17:33.0,+4:26.3,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
841,48,,3501259,EKSTROEM Axel,1995,SWE,1:17:46.0,+4:39.3,,Men's Overall Standing,Ruka (FIN),"Dec 01, 2019",World Cup,2020
